carnet,nombre,carrera,departamento,promedio
EST000000,Estudiante 0,Arquitectura,San Miguel,6.05
EST000001,Estudiante 1,Ingeniería en Sistemas,Santa Ana,5.37
EST000002,Estudiante 2,Ingeniería en Sistemas,San Salvador,6.33
EST000003,Estudiante 3,Arquitectura,San Miguel,5.6
EST000004,Estudiante 4,Contaduría,San Salvador,5.68
EST000005,Estudiante 5,Administración,La Libertad,9.26
EST000006,Estudiante 6,Arquitectura,Sonsonate,7.51
EST000007,Estudiante 7,Ingeniería Industrial,Sonsonate,8.61
EST000008,Estudiante 8,Ingeniería en Sistemas,Santa Ana,6.95
EST000009,Estudiante 9,Ingeniería en Sistemas,San Salvador,9.02
EST000010,Estudiante 10,Arquitectura,Sonsonate,5.18
EST000011,Estudiante 11,Administración,San Salvador,9.09
EST000012,Estudiante 12,Arquitectura,Santa Ana,8.63
EST000013,Estudiante 13,Arquitectura,San Salvador,9.72
EST000014,Estudiante 14,Administración,Santa Ana,9.2
EST000015,Estudiante 15,Administración,La Libertad,8.74
EST000016,Estudiante 16,Arquitectura,Sonsonate,6.3
EST000017,Estudiante 17,Contaduría,La Libertad,8.77
EST000018,Estudiante 18,Administración,Sonsonate,6.72
EST000019,Estudiante 19,Contaduría,San Salvador,8.84
EST000020,Estudiante 20,Ingeniería en Sistemas,San Miguel,5.68
EST000021,Estudiante 21,Ingeniería en Sistemas,La Libertad,8.6
EST000022,Estudiante 22,Ingeniería en Sistemas,Sonsonate,7.77
EST000023,Estudiante 23,Administración,San Miguel,7.53
EST000024,Estudiante 24,Arquitectura,Santa Ana,8.72
EST000025,Estudiante 25,Ingeniería Industrial,Santa Ana,6.72
EST000026,Estudiante 26,Contaduría,Santa Ana,6.01
EST000027,Estudiante 27,Ingeniería en Sistemas,Sonsonate,8.49
EST000028,Estudiante 28,Contaduría,Santa Ana,8.87
EST000029,Estudiante 29,Contaduría,San Miguel,7.0
EST000030,Estudiante 30,Ingeniería Industrial,San Salvador,9.72
EST000031,Estudiante 31,Ingeniería Industrial,San Miguel,6.24
EST000032,Estudiante 32,Ingeniería Industrial,San Miguel,9.53
EST000033,Estudiante 33,Ingeniería en Sistemas,San Miguel,9.55
EST000034,Estudiante 34,Ingeniería Industrial,La Libertad,9.72
EST000035,Estudiante 35,Ingeniería en Sistemas,Sonsonate,8.67
EST000036,Estudiante 36,Ingeniería Industrial,Sonsonate,6.58
EST000037,Estudiante 37,Contaduría,Sonsonate,6.19
EST000038,Estudiante 38,Ingeniería en Sistemas,Santa Ana,9.81
EST000039,Estudiante 39,Arquitectura,Santa Ana,7.75
EST000040,Estudiante 40,Contaduría,San Miguel,7.52
EST000041,Estudiante 41,Arquitectura,San Miguel,8.32
EST000042,Estudiante 42,Arquitectura,San Salvador,9.04
EST000043,Estudiante 43,Ingeniería Industrial,Sonsonate,8.91
EST000044,Estudiante 44,Administración,San Salvador,5.02
EST000045,Estudiante 45,Contaduría,La Libertad,7.93
EST000046,Estudiante 46,Administración,La Libertad,5.14
EST000047,Estudiante 47,Contaduría,Sonsonate,9.97
EST000048,Estudiante 48,Contaduría,San Salvador,8.25
EST000049,Estudiante 49,Arquitectura,San Salvador,7.22
EST000050,Estudiante 50,Ingeniería Industrial,Santa Ana,5.41
EST000051,Estudiante 51,Ingeniería Industrial,San Miguel,6.79
EST000052,Estudiante 52,Arquitectura,Sonsonate,8.69
EST000053,Estudiante 53,Arquitectura,San Miguel,5.37
EST000054,Estudiante 54,Ingeniería en Sistemas,San Miguel,9.09
EST000055,Estudiante 55,Ingeniería en Sistemas,La Libertad,8.64
EST000056,Estudiante 56,Arquitectura,Sonsonate,6.34
EST000057,Estudiante 57,Ingeniería Industrial,San Salvador,7.56
EST000058,Estudiante 58,Arquitectura,San Miguel,5.1
EST000059,Estudiante 59,Ingeniería en Sistemas,Sonsonate,7.0
EST000060,Estudiante 60,Ingeniería en Sistemas,La Libertad,9.91
